id,c_source,gene,gr,lag,upper_asymptote
60279,Acetate,b0161,0,1800,2.38
60280,Acetate,b0162,0,1800,1.656666667
60281,Acetate,b0163,0,1800,2.296666667
60282,Acetate,b0164,0,1800,1.37
60283,Acetate,b0167,0,1800,2.33
60284,Acetate,b0178,0,1800,3.066666667
60286,Acetate,b0186,0,1800,2.45
60287,Acetate,b0187,0,1800,1.213333333
60288,Acetate,b0189,0,1800,1.663333333
60289,Acetate,b0190,0,1800,1.783333333
60290,Acetate,b0191,0,1800,1.92
60291,Acetate,b0192,0,1800,3.156666667
60292,Acetate,b0193,0,1800,1.713333333
60293,Acetate,b0195,0,1800,1.71
60294,Acetate,b0196,0,1800,1.713333333
60295,Acetate,b0197,0,1800,2.313333333
60296,Acetate,b0198,0,1800,3.1
60297,Acetate,b0199,0,1800,2.926666667
60298,Acetate,b0200,0,1800,0.463333333
60299,Acetate,b0207,0,1800,1.496666667
60300,Acetate,b0208,0,1800,3.04
60301,Acetate,b0209,0,1800,1.796666667
60302,Acetate,b0210,0,1800,2.2
60303,Acetate,b0211,0,1800,2.213333333
60305,Acetate,b0213,0,1800,2.706666667
60306,Acetate,b0214,0,1800,1.76
60307,Acetate,b0215,0,1800,1.046666667
60308,Acetate,b0217,0,1800,2.95
60309,Acetate,b0218,0,1800,1.896666667
60310,Acetate,b0219,0,1800,2.24
60311,Acetate,b0220,0,1800,2.383333333
60312,Acetate,b0221,0,1800,1.803333333
60313,Acetate,b0222,0,1800,0.39
60314,Acetate,b0223,0,1800,1.093333333
60315,Acetate,b0224,0,1800,1.326666667
60316,Acetate,b0225,0,1800,3.976666667
60317,Acetate,b0226,0,1800,1.143333333
60318,Acetate,b0227,0,1800,1.636666667
60319,Acetate,b0228,0,1800,2.57
60320,Acetate,b0229,0,1800,2.31
60321,Acetate,b0230,0,1800,2.24
60322,Acetate,b0231,0,1800,3.036666667
60323,Acetate,b0232,0,1800,2.67
60324,Acetate,b0233,0,1800,2.216666667
60325,Acetate,b0234,0,1800,2.336666667
60326,Acetate,b0235,0,1800,2.553333333
60327,Acetate,b0236,0,1800,2.09
60328,Acetate,b0237,0,1800,3.46
60329,Acetate,b0238,0,1800,2.28
60330,Acetate,b0239,0,1800,2.343333333
60332,Acetate,b0241,0,1800,1.99
60333,Acetate,b0242,0,1800,0
60334,Acetate,b0243,0,1800,-0.045
60335,Acetate,b0245,0,1800,2.876666667
60336,Acetate,b0246,0,1800,2.58
60337,Acetate,b0247,0,1800,2.29
60338,Acetate,b0248,0,1800,1.726666667
60339,Acetate,b0249,0,1800,2.406666667
60340,Acetate,b0250,0,1800,2.06
60341,Acetate,b0251,0,1800,2.413333333
60342,Acetate,b0252,0,1800,3.166666667
60343,Acetate,b0253,0,1800,2.16
60345,Acetate,b0258,0,1800,3.033333333
60346,Acetate,b0260,0,1800,2.39
60347,Acetate,b0261,0,1800,1.956666667
60348,Acetate,b0262,0,1800,2.656666667
60349,Acetate,b0263,0,1800,1.66
60350,Acetate,b0266,0,1800,1.976666667
60351,Acetate,b0267,0,1800,2.4
60352,Acetate,b0268,0,1800,1.35
60353,Acetate,b0269,0,1800,2.593333333
60354,Acetate,b0271,0,1800,2.15
60355,Acetate,b0272,0,1800,2.67
